id,title,year
35423,Kate & Leopold,2001
64177,Colossus: The Forbin Project,1970
64510,Jenny,1970
64598,London Affair,1970
64949,Scream and Scream Again,1970
65134,Two Mules for Sister Sara,1970
65161,La vacanza,1971
65370,Act of the Heart,1970
65377,Airport,1970
65380,Alex in Wonderland,1970
65384,All the Way Up,1970
65439,The Confession,1970
65441,The Baby Maker,1970
65446,The Ballad of Cable Hogue,1970
65454,The Boat on the Grass,1971
65481,Bloody Mama,1970
65492,Brewster McCloud,1970
65520,Cannon for Cordoba,1970
65528,Catch-22,1970
65542,The Cheyenne Social Club,1970
65553,Five Dolls for an August Moon,1970
65555,Violent City,1970
65581,Brotherly Love,1970
65582,Cover Me Babe,1970
65593,Cromwell,1970
65636,Diary of a Mad Housewife,1970
65642,Dirty Dingus Magee,1970
65692,End of the Road,1970
65700,Entertaining Mr Sloane,1970
65703,First Love,1970
65711,The Executioner,1970
65720,Figures in a Landscape,1970
65724,Five Easy Pieces,1970
65731,Fools,1970
65760,Gas! -Or- It Became Necessary to Destroy the World in Order to Save It.,1970
65775,Getting Straight,1970
65782,Sunflower,1970
65797,The Great White Hope,1970
65820,The Hawaiians,1970
65830,Langlois,1970
65832,Hercules in New York,1970
65836,"Hi, Mom!",1970
65842,Mr. Superinvisible,1970
65867,Husbands,1970
65871,I Love My Wife,1970
65916,Joe,1970
65922,Julius Caesar,1970
65938,Kelly's Heroes,1970
65944,King: A Filmed Record... Montgomery to Memphis,1970
65957,The Lady in the Car with Glasses and a Gun,1970
65967,The Last Grenade,1970
65969,The Last Valley,1971
65970,The Lawyer,1970
65988,Little Big Man,1970
65989,Little Fauss and Big Halsy,1970
65990,Tvár pod maskou,1970
66011,Love Story,1970
66017,Loving,1970
66026,MASH,1970
66043,The Making of 'Butch Cassidy and the Sundance Kid',1970
66080,The Mind of Mr. Soames,1970
66090,The Molly Maguires,1970
66093,Monte Walsh,1970
66096,The Moonshine War,1970
66113,"My Lover, My Son",1970
66115,Myra Breckinridge,1970
66141,The Night Visitor,1971
66181,On a Clear Day You Can See Forever,1970
66193,The Out of Towners,1970
66195,The Owl and the Pussycat,1970
66209,The People Next Door,1970
66222,Pieces of Dreams,1970
66262,Puzzle of a Downfall Child,1970
66266,Quackser Fortune Has a Cousin in the Bronx,1970
66273,R.P.M.,1970
66274,"Rabbit, Run",1970
66286,The Rebel Rousers,1970
66296,The Revolutionary,1970
66312,"Rosolino Paternò, soldato...",1970
66319,Ryan's Daughter,1970
66344,Scrooge,1970
66384,Skullduggery,1970
66390,Soldier Blue,1970
66392,Something for Everyone,1970
66402,Start the Revolution Without Me,1970
66410,Story of a Woman,1970
66415,The Strawberry Statement,1970
66422,Suppose They Gave a War and Nobody Came?,1970
66434,THX 1138,1971
66448,There Was a Crooked Man...,1970
66450,They Call Me Mister Tibbs!,1970
66454,Three Sisters,1970
66471,Too Late the Hero,1970
66485,The Traveling Executioner,1970
66491,Tristana,1970
66494,Tropic of Cancer,1970
66495,The Twelve Chairs,1970
66518,The Vampire Lovers,1970
66528,The Virgin and the Gypsy,1970
66540,WUSA,1970
66543,The Walking Stick,1970
66549,Waterloo,1970
66563,Where's Poppa?,1970
66580,Woodstock,1970
66605,Zig Zag,1970
66728,The Million Dollar Duck,1971
66730,10 Rillington Place,1971
66765,And Now for Something Completely Different,1971
66767,The Anderson Tapes,1971
66793,As Far as Love Can Go,1971
66808,Bananas,1971
66811,The Barefoot Executive,1971
66817,Bedknobs and Broomsticks,1971
66819,The Beguiled,1971
66822,Believe in Me,1971
66826,The Touch,1971
66829,The Sin,1972
66856,Born to Win,1971
66892,Carnal Knowledge,1971
66898,The House Without Frontiers,1972
66900,Catlow,1971
66907,Chato's Land,1972
66920,Clay Pigeon,1971
66929,The Dove Must Not Fly,1970
66967,Danny Jones,1972
66970,Cold Sweat,1970
66986,Desperate Characters,1971
66993,The Devils,1971
66997,Directed by John Ford,1971
66999,Dirty Harry,1971
67003,'Doc',1971
67004,Doctors' Wives,1971
67065,Escape from the Planet of the Apes,1971
67109,Fools' Parade,1971
67116,The French Connection,1971
67119,Fright,1971
67140,"Duck, You Sucker",1971
67146,Going Home,1971
67168,A Gunfight,1971
67180,"Happy Birthday, Wanda June",1971
67204,The Hired Hand,1971
67216,The Horsemen,1971
67217,The Hospital,1971
67219,How to Frame a Figg,1971
67224,The Hunting Party,1971
67228,Hændeligt uheld,1971
67243,In the Devil's Garden,1971
67245,The Incredible 2-Headed Transplant,1971
67248,Inn of the Frightened People,1971
67258,J W Coop,1971
67277,Johnny Got His Gun,1971
67297,Catch Me a Spy,1971
67302,Kidnapped,1971
67303,Don't Turn the Other Cheek,1971
67309,Klute,1971
67328,The Last Picture Show,1971
67333,Lawman,1971
67345,The Light at the Edge of the World,1971
67350,Little Murders,1971
67359,The Love Machine,1971
67382,The Deadly Trap,1971
67388,Man in the Wilderness,1971
67402,"Mary, Queen of Scots",1971
67411,McCabe & Mrs. Miller,1971
67419,The Mephisto Waltz,1971
67433,Minnie and Moskowitz,1971
67437,The Priest's Wife,1970
67457,Murders in the Rue Morgue,1971
67531,One More Train to Rob,1971
67535,The Organization,1971
67549,The Panic in Needle Park,1971
67568,Percy,1971
67589,Plaza Suite,1971
67634,The Pursuit of Happiness,1971
67645,Quest for Love,1971
