id,name,birth
2,Lauren Bacall,1924
4,John Belushi,1949
6,Ingrid Bergman,1915
8,Marlon Brando,1924
18,Kirk Douglas,1916
24,John Gielgud,1904
27,Alec Guinness,1914
29,Margaux Hemingway,1954
32,Charlton Heston,1923
44,Burt Lancaster,1913
47,Sophia Loren,1934
52,Marcello Mastroianni,1924
53,Robert Mitchum,1917
56,Paul Newman,1925
57,David Niven,1910
71,James Stewart,1908
79,Raquel Welch,1940
80,Orson Welles,1915
81,Natalie Wood,1938
84,Li Gong,1965
90,Armin Mueller-Stahl,1930
92,John Cleese,1939
93,Brad Pitt,1963
95,Woody Allen,1935
96,Gillian Anderson,1968
97,Pamela Anderson,1967
98,Jennifer Aniston,1969
99,Patricia Arquette,1968
101,Dan Aykroyd,1952
102,Kevin Bacon,1958
103,Fairuza Balk,1974
104,Antonio Banderas,1960
105,Adrienne Barbeau,1945
106,Drew Barrymore,1975
107,Kim Basinger,1953
110,Kenneth Branagh,1960
111,Matthew Broderick,1962
112,Pierce Brosnan,1953
113,Sandra Bullock,1964
114,Steve Buscemi,1957
115,Nicolas Cage,1964
116,James Cameron,1954
117,Neve Campbell,1973
119,Tia Carrere,1967
120,Jim Carrey,1962
121,Phoebe Cates,1963
122,Charles Chaplin,1889
123,George Clooney,1961
124,Jennifer Connelly,1970
125,Sean Connery,1930
126,Kevin Costner,1955
128,Russell Crowe,1964
129,Tom Cruise,1962
130,Jamie Lee Curtis,1958
131,John Cusack,1966
132,Claire Danes,1979
133,Geena Davis,1956
134,Robert De Niro,1943
135,John Denver,1943
136,Johnny Depp,1963
138,Leonardo DiCaprio,1974
139,Cameron Diaz,1972
140,Michael Douglas,1944
141,David Duchovny,1960
142,Clint Eastwood,1930
143,Erika Eleniak,1969
144,Cary Elwes,1962
145,Sherilyn Fenn,1965
146,Ralph Fiennes,1962
147,Colin Firth,1960
148,Harrison Ford,1942
149,Jodie Foster,1962
150,Michael J. Fox,1961
151,Morgan Freeman,1937
152,Richard Gere,1949
153,Gina Gershon,1962
154,Mel Gibson,1956
155,Whoopi Goldberg,1955
156,Jeff Goldblum,1952
157,Linda Hamilton,1956
158,Tom Hanks,1956
159,Teri Hatcher,1964
160,Ethan Hawke,1970
161,Salma Hayek,1966
162,Anne Heche,1969
163,Dustin Hoffman,1937
164,Anthony Hopkins,1937
166,Helen Hunt,1963
167,Elizabeth Hurley,1965
168,Samuel L. Jackson,1948
169,Tommy Lee Jones,1946
170,Milla Jovovich,1975
171,Ashley Judd,1968
172,Harvey Keitel,1939
173,Nicole Kidman,1967
174,Val Kilmer,1959
176,Nastassja Kinski,1961
177,Kevin Kline,1947
178,Diane Lane,1965
179,Jude Law,1972
182,Jennifer Lopez,1969
185,Dolph Lundgren,1957
187,Madonna,1958
188,Steve Martin,1945
190,Matthew McConaughey,1969
191,Ewan McGregor,1971
192,Alyssa Milano,1972
193,Demi Moore,1962
194,Julianne Moore,1960
195,Bill Murray,1950
196,Mike Myers,1963
197,Jack Nicholson,1937
198,Gary Oldman,1958
199,Al Pacino,1940
200,Bill Paxton,1955
201,Michelle Pfeiffer,1958
202,Ryan Phillippe,1974
204,Natalie Portman,1981
205,Parker Posey,1968
206,Keanu Reeves,1964
207,Christina Ricci,1980
209,Tim Robbins,1958
210,Julia Roberts,1967
211,Mimi Rogers,1956
212,Meg Ryan,1961
213,Winona Ryder,1971
214,Mia Sara,1967
215,Susan Sarandon,1946
216,Arnold Schwarzenegger,1947
217,Martin Scorsese,1942
218,Kristin Scott Thomas,1960
219,Steven Seagal,1952
220,Joan Severance,1958
221,Charlie Sheen,1965
222,Brooke Shields,1965
223,Elisabeth Shue,1963
224,Alicia Silverstone,1976
225,Christian Slater,1969
226,Will Smith,1968
227,Mira Sorvino,1967
228,Kevin Spacey,1959
230,Sylvester Stallone,1946
232,Sharon Stone,1958
